id,name,start_date,end_date,replaces,replaced_by
Q8007204,"William Cowper-Temple, 1st Baron Mount Temple",1857-02-05,1858-02-21,,Q338354
Q338354,"Charles Adderley, 1st Baron Norton",1858-03-12,1859-06-11,Q8007204,Q334355
Q334355,Robert Lowe,1859-06-24,1864-04-26,Q338354,Q335550
Q335550,"Henry Bruce, 1st Baron Aberdare",1864-04-26,1866-06-26,Q334355,Q333378
Q333378,Henry Lowry-Corry (1803–1873),1866-06-26,1867-03-19,Q335550,Q6679922
Q6679922,Lord Robert Montagu,1867-03-19,1868-12-01,Q333378,Q654942
Q654942,William Edward Forster,1868-12-09,1874-02-17,Q6679922,Q5311966
Q5311966,"Dudley Ryder, 3rd Earl of Harrowby",1874-03-02,1878-04-04,Q654942,Q333628
Q333628,Lord George Hamilton,1878-04-04,1880-04-21,Q5311966,Q1834123
Q1834123,A. J. Mundella,1880-05-03,1885-06-09,Q333628,Q5345405
Q5345405,Edward Stanhope,1885-06-24,1885-09-17,Q1834123,Q4499092
Q4499092,"Henry Holland, 1st Viscount Knutsford",1885-09-17,1886-01-28,Q5345405,Q333737
Q333737,"Lyon Playfair, 1st Baron Playfair",1886-02-13,1886-07-20,Q4499092,Q4499092
Q4499092,"Henry Holland, 1st Viscount Knutsford",1886-08-03,1887-01-25,Q333737,Q13529930
Q13529930,"Sir William Hart Dyke, 7th Baronet",1887-01-25,1892-08-11,Q4499092,Q606299
Q606299,"Sir Arthur Dyke Acland, 13th Baronet",1892-08-25,1895-06-21,Q13529930,Q5765264
Q5765264,John Eldon Gorst,1895-07-04,1902-08-08,Q606299,Q334063
Q334063,"Spencer Cavendish, 8th Duke of Devonshire",1900-03-03,1902-08-08,Q5765264,Q5083121
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",1902-08-11,1905-12-04,Q334063,Q333216
Q333216,Augustine Birrell,1905-12-10,1907-01-23,Q5083121,Q333710
Q333710,Reginald McKenna,1907-01-23,1908-04-12,Q333216,Q333376
Q333376,"Walter Runciman, 1st Viscount Runciman of Doxford",1908-04-12,1911-10-23,Q333710,Q6114554
Q6114554,"Jack Pease, 1st Baron Gainford",1911-10-23,1915-05-25,Q333376,Q208665
Q208665,Arthur Henderson,1915-05-25,1916-08-18,Q6114554,Q336421
Q336421,"Robert Crewe-Milnes, 1st Marquess of Crewe",1916-08-18,1916-12-10,Q208665,Q333442
Q333442,H. A. L. Fisher,1916-12-10,1922-10-19,Q336421,Q333426
Q333426,"Edward Wood, 1st Earl of Halifax",1922-10-24,1924-01-22,Q333442,Q333358
Q333358,"Sir Charles Trevelyan, 3rd Baronet",1924-01-22,1924-11-03,Q333426,Q1241117
Q1241117,"Eustace Percy, 1st Baron Percy of Newcastle",1924-11-06,1929-06-04,Q333358,Q333358
Q333358,"Sir Charles Trevelyan, 3rd Baronet",1929-06-07,1931-03-02,Q1241117,Q6305458
Q6305458,Hastings Lees-Smith,1931-03-02,1931-08-24,Q333358,Q5294786
Q5294786,Donald Maclean (British politician),1931-08-25,1932-06-15,Q6305458,Q333426
Q333426,"Edward Wood, 1st Earl of Halifax",1932-06-15,1935-06-07,Q5294786,Q3497552
Q3497552,Oliver Stanley,1935-06-07,1937-05-28,Q333426,Q6143495
Q6143495,"James Stanhope, 7th Earl Stanhope",1937-05-28,1938-10-27,Q3497552,Q5736213
Q5736213,"Herbrand Sackville, 9th Earl De La Warr",1938-10-27,1940-04-03,Q6143495,Q334385
Q334385,"Herwald Ramsbotham, 1st Viscount Soulbury",1940-04-03,1941-07-20,Q5736213,Q182035
Q182035,Rab Butler,1941-07-20,1944-08-03,Q334385,Q182035
Q182035,Rab Butler,1944-08-03,1945-05-25,Q182035,Q12411364
Q12411364,"Richard Law, 1st Baron Coleraine",1945-05-25,1945-07-26,Q182035,Q332751
Q332751,Ellen Wilkinson,1945-08-03,1947-02-06,Q12411364,Q5545269
Q5545269,George Tomlinson,1947-02-10,1951-10-26,Q332751,Q334280
Q334280,"Florence Horsbrugh, Baroness Horsbrugh",1951-11-02,1954-10-18,Q5545269,Q332914
Q332914,"David Eccles, 1st Viscount Eccles",1954-10-18,1957-01-13,Q334280,Q175366
Q175366,"Quintin Hogg, Baron Hailsham of St Marylebone",1957-01-13,1957-09-17,Q332914,Q3101091
Q3101091,"Geoffrey Lloyd, Baron Geoffrey-Lloyd",1957-09-17,1959-10-14,Q175366,Q332914
Q332914,"David Eccles, 1st Viscount Eccles",1959-10-14,1962-07-13,Q3101091,Q5341978
Q5341978,"Edward Boyle, Baron Boyle of Handsworth",1962-07-13,1964-04-01,Q332914,Q175366
Q175366,"Quintin Hogg, Baron Hailsham of St Marylebone",1964-04-01,1964-10-16,Q5341978,Q333773
Q333773,"Michael Stewart, Baron Stewart of Fulham",1964-10-18,1965-01-22,Q175366,Q301252
Q301252,Anthony Crosland,1965-01-22,1967-08-29,Q333773,Q333745
Q333745,Patrick Gordon Walker,1967-08-29,1968-04-06,Q301252,Q333944
Q333944,"Edward Short, Baron Glenamara",1968-04-06,1970-06-19,Q333745,Q7416
Q7416,Margaret Thatcher,1970-06-20,1974-03-04,Q333944,Q4816857
Q4816857,Reginald Prentice,1974-03-05,1975-06-10,Q7416,Q334362
Q334362,Fred Mulley,1975-06-10,1976-09-10,Q4816857,Q333250
Q333250,Shirley Williams,1976-09-10,1979-05-04,Q334362,Q6767006
Q6767006,Mark Carlisle,1979-05-05,1981-09-14,Q333250,Q333694
Q333694,Keith Joseph,1981-09-14,1986-05-21,Q6767006,Q333390
Q333390,"Kenneth Baker, Baron Baker of Dorking",1986-05-21,1989-07-24,Q333694,Q332940
Q332940,"John MacGregor, Baron MacGregor of Pulham Market",1989-07-24,1990-11-02,Q333390,Q271889
Q271889,Kenneth Clarke,1990-11-02,1992-04-10,Q332940,Q175162
Q175162,"John Patten, Baron Patten",1992-04-10,1994-07-20,Q271889,Q333058
Q333058,"Gillian Shephard, Baroness Shephard of Northwold",1994-07-20,1995-07-05,Q175162,Q333058
Q333058,"Gillian Shephard, Baroness Shephard of Northwold",1995-07-05,1997-05-02,Q333058,Q264196
Q264196,David Blunkett,1997-05-02,2001-06-08,Q333058,Q333326
Q333326,Estelle Morris,2001-06-08,2002-10-24,Q264196,Q333758
Q333758,Charles Clarke,2002-10-24,2004-12-15,Q333326,Q272644
Q272644,Ruth Kelly,2004-12-15,2006-05-05,Q333758,Q332336
Q332336,Alan Johnson,2006-05-05,2007-06-27,Q272644,Q260464
Q260464,Ed Balls,2007-06-28,2009-06-05,Q332336,Q260464
Q260464,Ed Balls,2009-06-05,2010-05-11,Q260464,Q333937
Q333937,Michael Gove,2010-05-11,2014-07-15,Q260464,Q580375
Q580375,Nicky Morgan,2014-07-15,2016-07-14,Q333937,Q333012
Q333012,Justine Greening,2016-07-14,2018-01-08,Q580375,Q676947
Q676947,Damian Hinds,2018-01-08,2019-07-24,Q333012,Q262409
Q262409,Gavin Williamson,2019-07-24,,Q676947,
